abstraction	entity
whole, unit	object
congener	whole, unit
benthos	organism, being
dwarf	organism, being
heterotroph	organism, being
parent	organism, being
person, individual, someone, somebody, mortal, soul	cause, organism, being
animal, beast, brute, creature, fauna	organism, being
plant, flora	organism, being
native	organism, being
substance	matter, part, portion, component, constituent
substance	matter
food, nutrient	substance
nutrient	substance
artifact, artefact	whole, unit
article	artifact, artefact
attribute	abstraction
state	attribute
feeling	state
location	object
shape, form	attribute
time	attribute
space, infinite	attribute
act, deed	event
group, grouping	abstraction
relation	abstraction
possession	relation
communication	abstraction
measure, quantity, amount	abstraction
phenomenon	process
thing	action
kindness, benignity	action
abdominoplasty	anaplasty
abort	termination, ending, conclusion
accomplishment, achievement	action
agon	celebration, festivity
alienation	action
application	action
beachhead, foothold	accomplishment, achievement
cakewalk	accomplishment, achievement
feat, effort, exploit	accomplishment, achievement
masterpiece	accomplishment, achievement
masterstroke	accomplishment, achievement
credit	accomplishment, achievement
action	act, deed
course	action
interaction	action
interplay	interaction
contact	interaction
brush	contact
fetch	action
placement	contact
interchange, reciprocation	interaction
reciprocity	interchange, reciprocation
dealings, traffic	interchange, reciprocation
relation	dealings, traffic
playing	action
play, swordplay	action
boondoggle	waste, wastefulness, dissipation
bowling	playing
acquiring, getting	act, deed
causing, causation	act, deed
delivery	act, deed
departure, going, leaving	act, deed
discovery, find, uncovering	act, deed
disposal, disposition	act, deed
hit	feat, effort, exploit
implementation, effectuation	act, deed
egress, egression, emergence	act, deed
equalization, equalisation, leveling	act, deed
exhumation, disinterment	act, deed
mitzvah, mitsvah	act, deed
propulsion, actuation	act, deed
rally, rallying	feat, effort, exploit
recovery, retrieval	act, deed
stunt	feat, effort, exploit
touch, touching	act, deed
performance	accomplishment, achievement
overachievement	performance
underachievement	performance
record	accomplishment, achievement
going, sledding	accomplishment, achievement
arrival, reaching	accomplishment, achievement
arrival	action
attainment	arrival, reaching
advent, coming	arrival, reaching
entrance, entering, entry, ingress, incoming	arrival
incursion	entrance, entering, entry, ingress, incoming
intrusion	entrance, entering, entry, ingress, incoming
irruption	entrance, entering, entry, ingress, incoming
entree	entrance, entering, entry, ingress, incoming
entail	change
registration, enrollment, enrolment	entrance, entering, entry, ingress, incoming
appearance	arrival
apparition	appearance
emergence, emersion	appearance
reappearance, return	appearance
comeback	reappearance, return
return, homecoming	arrival
repatriation	return, homecoming
penetration	entrance, entering, entry, ingress, incoming
interpenetration, permeation	penetration
anchorage	arrival
docking, moorage, dockage	arrival
landing	arrival
landing	arrival
farewell, leave, parting	departure, going, leaving
valediction	farewell, leave, parting
disappearance, disappearing	departure, going, leaving
vanishing	disappearance, disappearing
withdrawal	departure, going, leaving
effacement	withdrawal
retreat	withdrawal
retirement, retreat	withdrawal
evacuation	withdrawal
medevac, medivac	evacuation
decampment	withdrawal
desertion, abandonment, defection	withdrawal
abscondment, decampment	desertion, abandonment, defection
deviationism	desertion, abandonment, defection
emigration, expatriation	migration
immigration	migration
aliyah	immigration
pullback	withdrawal
retreat	withdrawal
standdown	stop, stoppage
disengagement, fallback, pullout	retreat
receding, recession	withdrawal
sailing	departure, going, leaving
debarkation, disembarkation, disembarkment	landing
boarding, embarkation, embarkment	departure, going, leaving
exit	departure, going, leaving
evasion	escape, flight
slip, elusion, eluding	evasion
maneuver, manoeuvre	evasion
clinch	maneuver, manoeuvre
dodge	evasion
break, breakout, jailbreak, gaolbreak, prisonbreak	escape, flight
getaway, lam	escape, flight
exodus, hegira, hejira	escape, flight
skedaddle	escape, flight
squeak, squeaker	accomplishment, achievement
surfacing	egress, egression, emergence
dispatch, despatch, shipment	departure, going, leaving
reshipment	dispatch, despatch, shipment
consummation	completion, culmination, closing, windup
consummation	completion, culmination, closing, windup
realization, realisation, fruition	consummation
orgasm, climax, coming	consummation
fulfillment, fulfilment	consummation
attainment	accomplishment, achievement
record	attainment
success	attainment
winning	success
blockbuster, megahit	hit, smash, smasher, strike, bang
sleeper	hit, smash, smasher, strike, bang
hit, smash, smasher, strike, bang	success
mark	success
ennoblement	promotion
conquest	success
coup	success
passing, pass, qualifying	success
credit	attainment
nonaccomplishment, nonachievement	act, deed
failure	omission, skip
failure	nonaccomplishment, nonachievement
failing, flunk	failure
naught	failure
cut	absence
default	absence, loss
loss	failure
capitulation, fall, surrender	loss
frustration, thwarting, foiling	hindrance, hinderance, interference
overturn, upset	success
backsliding, lapse, lapsing, relapse, relapsing, reversion, reverting	failure
recidivism	backsliding, lapse, lapsing, relapse, relapsing, reversion, reverting
disappointment	failure
breach	failure
copout	failure
leaning	act, deed
motivation, motivating	act, deed
mistake, error, fault	nonaccomplishment, nonachievement
footfault	fault
bobble	blunder, blooper, bloomer, bungle, pratfall, fuckup, flub, botch, boner
error, misplay	failure
blot, smear, smirch, spot, stain	mistake, error, fault
confusion	mistake, error, fault
incursion	mistake, error, fault
miscalculation, misreckoning, misestimation	mistake, error, fault
backfire, boomerang	miscalculation, misreckoning, misestimation
rounding	miscalculation, misreckoning, misestimation
distortion	mistake, error, fault
slip, miscue, parapraxis	mistake, error, fault
offside	mistake, error, fault
oversight, lapse	mistake, error, fault
omission, skip	mistake, error, fault
blunder, blooper, bloomer, bungle, pratfall, fuckup, flub, botch, boner	mistake, error, fault
snafu	blunder, blooper, bloomer, bungle, pratfall, fuckup, flub, botch, boner
spectacle	blunder, blooper, bloomer, bungle, pratfall, fuckup, flub, botch, boner
ballup, cockup	mistake, error, fault
bull	blunder, blooper, bloomer, bungle, pratfall, fuckup, flub, botch, boner
fumble, muff	blunder, blooper, bloomer, bungle, pratfall, fuckup, flub, botch, boner
fluff	blunder, blooper, bloomer, bungle, pratfall, fuckup, flub, botch, boner
gaffe, solecism, slip, gaucherie	blunder, blooper, bloomer, bungle, pratfall, fuckup, flub, botch, boner
howler	blunder, blooper, bloomer, bungle, pratfall, fuckup, flub, botch, boner
clanger	blunder, blooper, bloomer, bungle, pratfall, fuckup, flub, botch, boner
trip, stumble, misstep	blunder, blooper, bloomer, bungle, pratfall, fuckup, flub, botch, boner
spill, tumble, fall	slip, trip
pratfall	spill, tumble, fall
wipeout	spill, tumble, fall
acquisition	acquiring, getting
obtainment, obtention	acquiring, getting
catching, contracting	acquiring, getting
incurring	acquisition
moneymaking	acquisition
annexation	acquisition
purchase	acquisition
redemption, repurchase, buyback	purchase
trading	commerce, commercialism, mercantilism
call	option
put	option
straddle	option
buying, purchasing	purchase
shopping	buying, purchasing
marketing	shopping
viatication, viaticus	buying, purchasing
acceptance	acquisition
succession	acquisition
assumption	acquisition
assumption	act, deed
position	assumption
inheritance, heritage	acquisition
procurement, procurance, procural	acquisition
appropriation	acquiring, getting
borrowing, adoption	appropriation
naturalization, naturalisation	borrowing, adoption
misappropriation	borrowing, adoption
preemption	appropriation
seizure	appropriation
usurpation	capture, seizure
confiscation, arrogation	seizure
distress, distraint	seizure
expropriation	confiscation, arrogation
impoundment, impounding, internment, poundage	seizure
impress, impressment	seizure
occupation, occupancy	acquiring, getting
preoccupancy, preoccupation	occupation, occupancy
sequestration, requisition	appropriation
grant, subsidization, subsidisation	allotment, apportionment, apportioning, allocation, parceling, parcelling, assignation
award, awarding	grant, subsidization, subsidisation
addiction	award, awarding
capture, seizure	acquiring, getting
apprehension, arrest, catch, collar, pinch	capture, seizure
conquest, conquering, subjection, subjugation	capture, seizure
enslavement	capture, seizure
restitution, return, restoration, regaining	acquisition
clawback	restitution, return, restoration, regaining
repossession	recovery, retrieval
foreclosure	proceeding, proceedings
reception, receipt	acquiring, getting
appointment	disposal, disposition
giving	disposal, disposition
abandonment	disposal, disposition
discard	abandonment
staging	discard
discard	abandonment
auction, vendue	sale
bootlegging	selling, merchandising, marketing
bootlegging	selling, merchandising, marketing
capitalization, capitalisation	selling, merchandising, marketing
overcapitalization, overcapitalisation	capitalization, capitalisation
reclamation	recovery, retrieval
rescue, deliverance, delivery, saving	recovery, retrieval
lifesaving	rescue, deliverance, delivery, saving
redemption, salvation	rescue, deliverance, delivery, saving
absolution, remission, remittal	redemption, salvation
indulgence	absolution, remission, remittal
conversion, rebirth	redemption, salvation
proselytism	conversion, rebirth
expiation, atonement, propitiation	redemption, salvation
reparation, amends	expiation, atonement, propitiation
